DBCODE,ENTITY,YEAR,DATE,STREAM,SITE,SITE_CODE,TRANSECT,REACH_SECTION,WETTED_WIDTH,DEPTH_1,DEPTH_2,DEPTH_3,DEPTH_4,DEPTH_5,MAX_DEPTH,REACH_LENGTH,NOTES
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",40,L,120,2.0,1.0,2.0,1.5,1.5,2.0,85,"left channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",40,R,160,8.5,14.5,11.0,11.5,9.0,18.0,85,"right channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",45,M,65,2.0,3.5,4.0,2.5,3.5,4.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",50,L,510,6.5,10.0,11.0,19.0,11.0,19.0,85,"left side channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",50,R,510,6.5,10.0,11.0,19.0,11.0,19.0,85,"right channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",55,M,265,7.0,22.0,23.0,14.0,7.0,34.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",60,M,570,9.0,24.0,21.0,19.0,30.0,30.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",65,M,75,2.0,1.5,1.0,1.5,2.0,6.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",70,M,405,19.0,7.0,8.0,5.0,14.0,19.0,85,"main channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",70,S,140,3.5,4.0,4.5,4.0,3.0,4.5,85,"side pool"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",75,M,180,23.0,24.0,10.5,2.0,1.5,24.0,85,"main channel"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",75,S,180,10.0,23.5,28.0,23.0,9.0,28.5,85,"side pool"
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",80,M,150,12.0,10.5,13.0,13.0,3.0,16.0,85,""
AS011,2,2016,2016-08-26,"McRae","MCRAE_HW_BELOW_ EOF","R963",85,M,465,19.5,17.0,15.0,4.5,2.5,21.0,85,""
AS011,2,2016,2016-08-31,"Lookout","LO_HW_BELOW_EOF","L1129",0,M,153,11.0,2.0,9.5,0.0,5.0,11.0,75,""
